loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,delinq_2yrs,mths_since_last_delinq,open_acc,revol_bal,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,int_rate2,int_rate3
18000,18000,60,10.16,383.87,10.0,MORTGAGE,72804.0,1.0,credit_card,MA,16.73,0.0,0.0,21.0,8751.0,49.0,13263.18,7273.77,4736.82,2536.95,0.1016,10.16
15675,15675,36,8.9,497.74,10.0,MORTGAGE,100000.0,1.0,small_business,WA,9.1,0.0,0.0,16.0,20650.0,45.0,15294.25,496.78,380.75,116.03,0.08900000000000001,8.9
16500,16500,60,7.9,333.78,2.0,MORTGAGE,42000.0,0.0,small_business,NY,10.43,0.0,0.0,9.0,2229.0,17.0,12966.64,5000.85,3533.36,1467.49,0.079,7.9
5500,5500,36,13.67,187.1,3.0,RENT,55000.0,1.0,debt_consolidation,NJ,20.71,0.0,0.0,17.0,9486.0,25.0,0.0,5792.14,5500.0,292.14,0.1367,13.67
6400,6400,36,15.8,224.38,2.0,RENT,34000.0,1.0,debt_consolidation,VA,32.4,0.0,47.0,6.0,4915.0,15.0,4430.59,2912.26,1969.41,942.85,0.158,15.8
1400,1400,36,15.96,49.2,3.0,MORTGAGE,67000.0,1.0,home_improvement,NV,19.57,0.0,61.0,8.0,13806.0,14.0,0.0,1687.48,1400.0,287.48,0.15960000000000002,15.96
6250,6250,36,7.51,194.45,7.0,MORTGAGE,33600.0,1.0,debt_consolidation,CA,18.05,0.0,0.0,7.0,5174.0,10.0,2072.55,4847.25,4177.45,669.8,0.0751,7.51
7300,7300,36,13.49,247.7,3.0,RENT,50000.0,1.0,small_business,FL,19.06,0.0,0.0,8.0,12026.0,13.0,2554.6,6185.5,4745.4,1440.1,0.1349,13.49
20000,20000,60,17.27,499.96,10.0,MORTGAGE,80000.0,1.0,debt_consolidation,VA,15.06,0.0,0.0,11.0,21592.0,30.0,13404.04,12928.21,6595.96,6332.25,0.1727,17.27
17500,16800,60,22.74,471.1,6.0,MORTGAGE,95000.0,0.0,debt_consolidation,WA,24.78,0.0,0.0,12.0,23722.0,23.0,0.0,4704.9,1662.3,3042.6,0.2274,22.74
11200,11200,36,11.71,370.46,4.0,RENT,82000.0,1.0,credit_card,TX,19.08,0.0,0.0,9.0,24886.0,35.0,3529.42,9611.21,7670.59,1940.62,0.11710000000000001,11.71
15000,15000,36,12.42,501.23,2.0,MORTGAGE,150000.0,1.0,other,NJ,19.46,0.0,0.0,12.0,53514.0,27.0,4750.5,13016.48,10249.5,2766.98,0.1242,12.42
24000,24000,36,8.9,762.08,7.0,RENT,70000.0,1.0,debt_consolidation,NY,9.87,0.0,0.0,11.0,15386.0,26.0,7325.96,19805.58,16674.04,3131.54,0.08900000000000001,8.9
8000,8000,36,6.03,243.49,7.0,MORTGAGE,60000.0,1.0,credit_card,FL,17.13,0.0,0.0,18.0,20097.0,28.0,0.0,8293.2,8000.0,293.2,0.0603,6.03
8500,8500,36,11.71,281.15,4.0,OTHER,130500.0,1.0,debt_consolidation,NM,13.36,0.0,69.0,10.0,8356.0,18.0,0.0,9880.55,8500.0,1380.55,0.11710000000000001,11.71
21000,21000,36,8.9,666.82,5.0,MORTGAGE,98000.0,1.0,debt_consolidation,FL,10.47,0.0,0.0,6.0,12954.0,23.0,15165.04,7335.02,5834.95,1500.07,0.08900000000000001,8.9
15000,15000,36,14.27,514.64,10.0,RENT,75000.0,1.0,debt_consolidation,NY,6.53,0.0,0.0,6.0,15605.0,9.0,4852.17,13344.64,10147.83,3196.81,0.1427,14.27
25000,25000,36,11.71,826.9,2.0,RENT,120000.0,1.0,small_business,CA,13.06,0.0,0.0,8.0,21412.0,25.0,7850.49,21488.65,17149.51,4339.14,0.11710000000000001,11.71
7000,7000,36,16.29,247.11,10.0,RENT,50000.0,1.0,wedding,NY,11.57,0.0,0.0,8.0,17075.0,9.0,2301.16,6417.61,4698.83,1718.78,0.1629,16.29
25500,25500,60,13.49,586.62,10.0,MORTGAGE,51000.0,0.0,small_business,FL,8.92,0.0,0.0,18.0,6295.0,31.0,17391.62,14076.23,8108.38,5967.85,0.1349,13.49
12000,12000,36,7.9,375.49,8.0,MORTGAGE,87060.0,1.0,credit_card,TX,7.57,0.0,0.0,6.0,11062.0,13.0,0.0,12973.87,12000.0,973.87,0.079,7.9
21675,21675,60,18.64,557.98,2.0,MORTGAGE,116000.0,1.0,credit_card,CA,13.25,1.0,14.0,7.0,21681.0,16.0,14659.72,14491.48,7015.28,7476.2,0.1864,18.64
18000,18000,60,19.42,471.1,10.0,MORTGAGE,46460.0,0.0,other,NC,12.91,0.0,24.0,7.0,7804.0,30.0,0.0,8008.04,3479.21,4513.34,0.1942,19.42
10000,10000,36,6.03,304.36,4.0,RENT,70000.0,1.0,credit_card,CA,3.14,0.0,0.0,5.0,8851.0,9.0,3254.78,7602.5,6745.23,857.27,0.0603,6.03
12000,12000,36,10.65,390.88,7.0,RENT,36982.0,1.0,debt_consolidation,WA,18.66,0.0,0.0,8.0,14142.0,13.0,4099.87,9746.5,7900.12,1846.38,0.1065,10.65
5225,5225,60,12.69,118.06,3.0,OTHER,15744.0,1.0,credit_card,OH,18.98,0.0,0.0,11.0,15706.0,12.0,3447.85,2936.0,1777.15,1158.85,0.12689999999999999,12.69
12600,12600,60,12.42,282.97,0.0,MORTGAGE,25200.0,0.0,major_purchase,AZ,0.71,0.0,0.0,7.0,83.0,15.0,0.0,3690.81,2107.87,1567.95,0.1242,12.42
